,City,Lat,Lng,Max_Temp,Humidity,Cloudiness,Wind_Speed,Country,Data
79,sorong,-0.88,131.25,83.17,76.0,100.0,5.06,ID,1619163148
80,poronaysk,49.22,143.12,48.29,69.0,100.0,5.99,RU,1619163149
81,tambura,5.6,27.47,85.14,53.0,50.0,6.42,SS,1619163149
82,busselton,-33.65,115.33,75.99,51.0,41.0,1.99,AU,1619163150
83,goderich,43.75,-81.72,39.2,65.0,0.0,9.22,CA,1619163150
84,patiya,22.29,91.98,93.2,46.0,45.0,13.8,BD,1619163151
85,meulaboh,4.14,96.13,85.39,63.0,98.0,6.29,ID,1619163151
86,quatre cocos,-20.21,57.76,82.99,83.0,75.0,5.75,MU,1619163153
87,port hardy,50.7,-127.42,48.2,75.0,20.0,3.44,CA,1619163000
88,banda aceh,5.56,95.32,86.04,65.0,100.0,15.55,ID,1619163007
89,rocha,-34.48,-54.33,61.88,91.0,100.0,9.53,UY,1619162966
90,tezu,27.92,96.17,96.96,22.0,2.0,6.42,IN,1619163154
91,plettenberg bay,-34.05,23.37,74.86,55.0,2.0,4.41,ZA,1619163156
92,ilulissat,69.22,-51.1,32.0,47.0,43.0,9.22,GL,1619163158
93,robertsport,6.75,-11.37,77.54,76.0,100.0,3.78,LR,1619163159
94,mingguang,32.78,117.96,73.98,51.0,93.0,9.15,CN,1619163159
95,lorengau,-2.02,147.27,82.45,73.0,98.0,5.77,PG,1619163160
96,aswan,24.09,32.91,97.09,11.0,0.0,15.32,EG,1619163098
97,souillac,-20.52,57.52,78.8,83.0,75.0,5.75,MU,1619163161
98,severobaykalsk,55.65,109.32,33.22,60.0,12.0,1.16,RU,1619163161
99,calabozo,8.92,-67.43,81.64,58.0,96.0,11.03,VE,1619163162
100,rexburg,43.83,-111.79,39.2,70.0,20.0,5.75,US,1619163003
101,ixtapa,20.7,-105.2,70.03,65.0,100.0,1.54,MX,1619162917
102,varzea grande,-15.65,-56.13,69.8,88.0,0.0,4.23,BR,1619163110
103,phuket,8.0,98.25,88.0,74.0,75.0,10.36,TH,1619163023
104,port keats,-14.25,129.55,85.46,63.0,93.0,6.26,AU,1619163164
105,bethel,41.37,-73.41,37.4,56.0,1.0,5.75,US,1619163165
106,toora-khem,52.47,96.11,40.6,35.0,100.0,4.09,RU,1619163165
107,kahama,-3.83,32.6,76.08,61.0,44.0,5.19,TZ,1619163166
108,andes,5.66,-75.88,63.84,98.0,93.0,1.19,CO,1619163167
109,karatau,43.17,70.47,55.49,36.0,53.0,17.4,KZ,1619163167
110,jati,24.35,68.27,102.15,21.0,0.0,20.98,PK,1619163168
111,coihaique,-45.58,-72.07,39.2,100.0,20.0,8.05,CL,1619163168
112,dikson,73.51,80.55,32.65,97.0,100.0,21.25,RU,1619163169
113,opuwo,-18.06,13.84,77.11,28.0,3.0,15.93,NA,1619163170
114,zaraza,9.35,-65.32,77.61,64.0,20.0,5.75,VE,1619163170
115,caohai,26.87,104.28,85.73,15.0,0.0,16.93,CN,1619163171
116,chapais,49.78,-74.85,24.8,68.0,1.0,8.05,CA,1619163171
117,port elizabeth,-33.92,25.57,66.2,82.0,0.0,12.66,ZA,1619163145
118,lichuan,30.3,108.85,59.58,93.0,100.0,5.37,CN,1619163172
119,upernavik,72.79,-56.15,13.24,78.0,97.0,4.41,GL,1619163173
120,ariquemes,-9.91,-63.04,70.83,98.0,40.0,1.1,BR,1619163173
121,puerto escondido,15.85,-97.07,80.91,67.0,100.0,5.21,MX,1619163174
122,arraial do cabo,-22.97,-42.03,72.68,77.0,8.0,22.93,BR,1619163174
123,batagay-alyta,67.8,130.41,15.21,72.0,100.0,2.64,RU,1619163175
124,nove mesto na morave,49.56,16.07,43.0,61.0,35.0,7.0,CZ,1619163175
125,guarapari,-20.67,-40.5,68.0,88.0,20.0,3.44,BR,1619163176
126,miramar,25.99,-80.23,75.2,68.0,1.0,6.91,US,1619163177
127,sturgeon falls,46.36,-79.93,36.0,69.0,1.0,8.05,CA,1619163004
128,smithers,54.78,-127.17,33.8,69.0,1.0,2.3,CA,1619163178
129,bodden town,19.28,-81.25,79.0,1.0,12.0,5.99,KY,1619163178
130,rindal,63.06,9.21,32.56,96.0,100.0,6.53,NO,1619163179
131,northam,51.03,-4.22,48.99,69.0,32.0,5.99,GB,1619163180
132,seoni malwa,22.45,77.47,102.87,8.0,31.0,8.88,IN,1619163180
133,pokhara,28.23,83.98,89.13,12.0,0.0,8.46,NP,1619163181
134,avarua,-21.21,-159.78,78.8,78.0,20.0,14.97,CK,1619163182
135,palmer,42.16,-72.33,35.6,51.0,1.0,8.05,US,1619163182
136,mar del plata,-38.0,-57.56,66.99,94.0,0.0,10.36,AR,1619163183
137,qaanaaq,77.48,-69.36,18.72,93.0,100.0,6.33,GL,1619163183
138,leua,48.22,18.61,48.0,62.0,0.0,7.0,SK,1619162904
139,cerrito,6.84,-72.69,53.64,88.0,100.0,5.14,CO,1619163186
140,macapa,0.04,-51.07,75.2,100.0,75.0,1.14,BR,1619163187
141,marzuq,14.4,46.47,87.91,14.0,0.0,5.44,YE,1619163187
142,anadyr,64.75,177.48,17.6,93.0,0.0,11.18,RU,1619163188
143,tuatapere,-46.13,167.68,50.0,95.0,85.0,4.0,NZ,1619163189
144,lasa,46.62,10.7,55.0,81.0,0.0,4.61,IT,1619163189
145,sibolga,1.74,98.78,84.52,66.0,99.0,4.63,ID,1619163190
146,kitimat,54.05,-128.65,39.2,60.0,40.0,3.44,CA,1619163190
147,seminole,28.71,-81.21,63.0,88.0,1.0,8.05,US,1619163177
148,dogondoutchi,13.64,4.03,91.47,19.0,73.0,9.28,NE,1619163192
149,koutiala,12.39,-5.46,85.3,46.0,87.0,10.42,ML,1619163192
150,bonthe,7.53,-12.51,78.8,86.0,100.0,7.54,SL,1619163193
151,khatanga,71.97,102.5,33.22,99.0,100.0,16.78,RU,1619163193
152,talnakh,69.49,88.4,34.47,96.0,92.0,13.04,RU,1619163194
153,acari,-15.43,-74.62,68.4,89.0,20.0,3.87,PE,1619163194
154,hay river,60.82,-115.8,17.6,62.0,100.0,2.3,CA,1619163195
155,asarganj,25.15,86.68,103.51,8.0,94.0,13.78,IN,1619163196
156,port macquarie,-31.43,152.92,59.0,70.0,0.0,4.16,AU,1619163196
